Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,1/9/2015 17:00,1222.28,0.00519889,0.005224964,0.005185336,0.005091384,0.005088181,0.005086227,0.005035003,0.005036505,-0.003246791,-0.003280439,0,0.003502081,0.00529027,0.005270996,0.005261306,0.005204144,0.005276403,0.005213047,0.005284396,0.005235906,-0.003124604,-0.0032953,-0.004045389,0.003622814
XAU/USD,1/12/2015 17:00,1233.3,0.004119814,0.004140407,0.004109109,0.004034901,0.004032371,0.004030827,0.003990364,0.00399155,-0.002214888,0.000807501,0,0,0.004191982,0.004176761,0.004169109,0.004123964,0.004181031,0.004130996,0.004187343,0.004149049,-0.002189449,-0.002200293,-0.002369677,-0.00234785
XAU/USD,1/13/2015 17:00,1230.39,-0.001077178,-0.001082509,-0.001074407,-0.001055191,-0.001054536,-0.001054136,-0.001043655,-0.001043963,-0.00100839,-0.000987793,0,0,-0.001095858,-0.001091919,-0.001089938,-0.001078252,-0.001093024,-0.001080073,-0.001094657,-0.001084746,-0.000996893,-0.001001752,-0.001078521,-0.00106886
XAU/USD,1/14/2015 17:00,1228.62,-0.000647488,-0.000650654,-0.000645842,-0.000634428,-0.000634038,-0.000633801,-0.000627573,-0.000627756,-0.004962066,-0.008384615,0,0,-0.000658578,-0.00065624,-0.000655064,-0.000648126,-0.000656896,-0.000649207,-0.000657866,-0.000651982,-0.008309526,-0.0084536,-0.000648285,-0.000642548
XAU/USD,1/15/2015 17:00,1262.11,0.01243536,0.012497096,0.012403266,0.012180754,0.012173166,0.012168537,0.012047183,0.012050741,0.002179335,-0.003775519,0.002218598,0.002226452,0.012651693,0.012606072,0.012583134,0.012447802,0.012618871,0.012468882,0.012637791,0.012523002,-0.002206204,-0.003804338,0.012450908,0.012339028
XAU/USD,1/16/2015 17:00,1280.04,0.006597097,0.006629548,0.006580225,0.006463231,0.006459241,0.006456806,0.006392982,0.006394854,0.006114366,0.006114287,0.006224158,0.006246118,0.0067108,0.006686825,0.00667477,0.006603637,0.006693551,0.006614718,0.006703494,0.006643165,0.006120532,0.006161238,0.00660527,0.006546454
XAU/USD,1/19/2015 17:00,1271.37,-0.003173497,-0.003189027,-0.003165423,-0.003109429,-0.003107519,-0.003106354,-0.003075802,-0.003076698,-0.000843972,-0.00294236,-0.002994974,-0.003005489,-0.003227906,-0.003216434,-0.003210666,-0.003176627,-0.003219652,-0.00318193,-0.00322441,-0.003195543,0.001210453,-0.002964845,-0.003177409,-0.003149261
XAU/USD,1/20/2015 17:00,1294.31,0.008407356,0.008448549,0.008385939,0.008237414,0.008232348,0.008229257,0.008148223,0.008150599,0,0.007794303,0.007933844,0.007961732,0.008551681,0.00852125,0.008505949,0.008415659,0.008529788,0.008429724,0.008542408,0.008465833,0.004980224,0.007853936,0.008417731,0.008343068
XAU/USD,1/21/2015 17:00,1293.19,-0.00070482,-0.001004157,-0.000703061,-0.000690852,-0.000690349,-0.000690095,-0.000683417,-0.000683612,0.002282603,0.003427021,0.00171741,0.00259111,-0.000716675,-0.001012659,-0.000712919,-0.000705503,-0.000714875,-0.000706658,-0.000715911,-0.000709625,0.004182492,0.004255438,0.004512001,0.002677865
XAU/USD,1/22/2015 17:00,1301.33,0.00272651,-0.001256514,0.002719599,0.002671665,0.002705189,0.002704179,0.002683448,0.002684227,-0.001217958,-0.001207582,-0.001245067,-0.001240331,0.002773079,-0.001267215,0.002758324,0.002729189,0.002767018,0.002733728,0.002771092,0.00274538,-0.001202647,-0.001212053,-0.001272933,-0.001268055
